Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_55_896.jpg;0;0;1;0;99.66999;85.58897;0.0002373354;54.71369;-5.282021E-08
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_55_956.jpg;0;0;0;0;99.66999;85.58897;0.0002373886;54.71369;1.320733E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_023.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_090.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_156.jpg;0;0;0;0;99.66999;85.58897;0.0002375111;54.71369;4.510203E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_223.jpg;0;0;0;0;99.66999;85.58897;0.0002375758;54.71369;2.476147E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_290.jpg;0;0;0;0;99.66999;85.58897;0.0002375273;54.71369;4.001673E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_356.jpg;0;0;0;0;99.66999;85.58897;0.0002375758;54.71369;2.476147E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_423.jpg;0;0;0;0;99.66999;85.58897;0.0002375435;54.71369;3.493207E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_490.jpg;0;0;0;0;99.66999;85.58897;0.0002375435;54.71369;3.493207E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_556.jpg;0;0;0;0;99.66999;85.58897;0.0002375435;54.71369;3.493207E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_623.jpg;0;0;0;0;99.66999;85.58897;0.0002375111;54.71369;4.510203E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_56_690.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
